iter	Passed	Remaining
0	15	15622
1	29	15395
2	45	15634
3	60	15621
4	75	15586
5	90	15582
6	105	15522
7	120	15473
8	135	15456
9	150	15439
10	165	15409
11	179	15328
12	195	15326
13	210	15307
14	226	15364
15	242	15421
16	257	15417
17	273	15456
18	289	15469
19	304	15458
20	321	15498
21	336	15465
22	352	15492
23	367	15485
24	384	15515
25	398	15462
26	413	15422
27	427	15367
28	441	15306
29	456	15267
30	470	15232
31	485	15212
32	501	15214
33	517	15211
34	530	15154
35	545	15119
36	560	15094
37	575	15089
38	591	15084
39	606	15074
40	621	15047
41	636	15036
42	651	15025
43	666	14994
44	681	14980
45	696	14967
46	712	14964
47	726	14914
48	741	14908
49	756	14886
50	771	14869
51	787	14865
52	802	14856
53	817	14829
54	832	14815
55	846	14790
56	861	14771
57	876	14756
58	892	14749
59	907	14728
60	922	14713
61	936	14678
62	950	14653
63	964	14624
64	979	14607
65	994	14580
66	1008	14561
67	1024	14547
68	1039	14531
69	1053	14504
70	1068	14485
71	1083	14475
72	1100	14482
73	1114	14459
74	1129	14444
75	1145	14434
76	1160	14424
77	1174	14399
78	1189	14375
79	1204	14361
80	1218	14342
81	1234	14326
82	1248	14301
83	1264	14298
84	1278	14276
85	1293	14262
86	1309	14258
87	1323	14232
88	1340	14228
89	1354	14206
90	1369	14186
91	1382	14159
92	1398	14147
93	1412	14121
94	1427	14111
95	1442	14094
96	1457	14080
97	1474	14085
98	1491	14088
99	1506	14072
100	1522	14064
101	1536	14043
102	1551	14022
103	1565	14002
104	1581	13991
105	1595	13969
106	1610	13953
107	1626	13942
108	1640	13921
109	1655	13907
110	1671	13898
111	1686	13883
112	1701	13867
113	1715	13844
114	1731	13835
115	1746	13822
116	1760	13801
117	1776	13789
118	1791	13772
119	1805	13755
120	1820	13740
121	1836	13726
122	1850	13708
123	1867	13702
124	1880	13678
125	1895	13656
126	1910	13641
127	1925	13632
128	1939	13609
129	1953	13586
130	1968	13568
131	1983	13553
132	1999	13543
133	2014	13530
134	2031	13525
135	2045	13509
136	2061	13495
137	2076	13480
138	2091	13465
139	2105	13445
140	2120	13430
141	2135	13411
142	2148	13388
143	2164	13375
144	2180	13369
145	2195	13354
146	2209	13334
147	2226	13331
148	2242	13319
149	2257	13307
150	2272	13290
151	2287	13273
152	2303	13262
153	2320	13258
154	2335	13245
155	2351	13232
156	2365	13215
157	2381	13202
158	2396	13186
159	2410	13166
160	2424	13148
161	2438	13127
162	2455	13120
163	2471	13112
164	2486	13094
165	2503	13088
166	2519	13079
167	2535	13069
168	2550	13052
169	2566	13042
170	2584	13041
171	2599	13027
172	2615	13016
173	2630	12999
174	2645	12983
175	2660	12968
176	2675	12954
177	2691	12943
178	2708	12938
179	2723	12920
180	2739	12911
181	2756	12902
182	2771	12886
183	2787	12877
184	2802	12861
185	2818	12848
186	2833	12833
187	2848	12820
188	2863	12803
189	2878	12788
190	2894	12775
191	2909	12758
192	2923	12740
193	2938	12722
194	2955	12714
195	2970	12699
196	2985	12684
197	3001	12671
198	3017	12662
199	3033	12650
200	3049	12638
201	3064	12622
202	3080	12610
203	3095	12593
204	3110	12576
205	3124	12558
206	3139	12542
207	3154	12526
208	3168	12508
209	3183	12492
210	3200	12484
211	3216	12469
212	3230	12453
213	3246	12438
214	3261	12422
215	3277	12413
216	3293	12399
217	3309	12388
218	3324	12373
219	3341	12365
220	3357	12350
221	3371	12333
222	3387	12320
223	3403	12306
224	3418	12290
225	3432	12272
226	3447	12257
227	3463	12244
228	3479	12232
229	3496	12222
230	3512	12211
231	3528	12196
232	3543	12183
233	3558	12165
234	3574	12154
235	3597	12165
236	3613	12152
237	3629	12139
238	3646	12128
239	3661	12112
240	3678	12102
241	3692	12085
242	3709	12074
243	3724	12059
244	3741	12048
245	3756	12032
246	3771	12018
247	3787	12004
248	3804	11994
249	3819	11978
250	3834	11962
251	3850	11948
252	3867	11937
253	3883	11924
254	3898	11909
255	3914	11897
256	3929	11880
257	3946	11868
258	3960	11851
259	3976	11837
260	3991	11820
261	4006	11804
262	4020	11787
263	4035	11770
264	4050	11754
265	4066	11739
266	4083	11731
267	4098	11714
268	4114	11702
269	4129	11684
270	4144	11669
271	4159	11651
272	4176	11641
273	4194	11633
274	4209	11617
275	4225	11605
276	4242	11594
277	4261	11588
278	4276	11572
279	4291	11557
280	4309	11547
281	4324	11531
282	4342	11525
283	4359	11514
284	4377	11504
285	4395	11494
286	4413	11488
287	4431	11479
288	4449	11470
289	4469	11467
290	4488	11461
291	4505	11449
292	4523	11439
293	4541	11432
294	4559	11420
295	4578	11416
296	4595	11404
297	4613	11395
298	4630	11381
299	4645	11365
300	4661	11352
301	4677	11337
302	4693	11322
303	4710	11310
304	4726	11297
305	4742	11282
306	4758	11269
307	4774	11254
308	4789	11236
309	4803	11218
310	4819	11205
311	4836	11192
312	4853	11180
313	4871	11170
314	4889	11159
315	4907	11151
316	4924	11138
317	4940	11122
318	4957	11112
319	4978	11109
320	4996	11097
321	5015	11089
322	5033	11079
323	5050	11067
324	5067	11054
325	5085	11045
326	5101	11030
327	5119	11020
328	5139	11012
329	5158	11005
330	5177	10995
331	5195	10985
332	5213	10974
333	5231	10964
334	5247	10949
335	5265	10937
336	5281	10923
337	5298	10911
338	5314	10896
339	5332	10884
340	5351	10876
341	5369	10864
342	5386	10851
343	5405	10841
344	5421	10827
345	5437	10812
346	5455	10801
347	5472	10788
348	5511	10817
349	5540	10828
350	5559	10818
351	5577	10807
352	5597	10797
353	5615	10786
354	5633	10774
355	5652	10765
356	5670	10753
357	5690	10745
358	5719	10753
359	5736	10740
360	5756	10731
361	5773	10717
362	5790	10703
363	5809	10693
364	5827	10681
365	5846	10670
366	5864	10659
367	5882	10646
368	5901	10635
369	5919	10622
370	5938	10612
371	5956	10600
372	5974	10588
373	5992	10574
374	6018	10576
375	6053	10593
376	6073	10584
377	6091	10571
378	6109	10559
379	6127	10545
380	6143	10530
381	6161	10516
382	6178	10502
383	6195	10486
384	6211	10470
385	6230	10459
386	6247	10444
387	6268	10436
388	6289	10429
389	6309	10418
390	6329	10409
391	6348	10397
392	6368	10386
393	6386	10373
394	6406	10363
395	6426	10354
396	6449	10348
397	6490	10371
398	6510	10361
399	6527	10345
400	6547	10335
401	6565	10321
402	6582	10306
403	6600	10293
404	6617	10278
405	6634	10262
406	6651	10247
407	6667	10230
408	6683	10213
409	6699	10196
410	6714	10178
411	6731	10162
412	6746	10144
413	6762	10127
414	6777	10109
415	6792	10090
416	6806	10070
417	6821	10052
418	6835	10033
419	6851	10016
420	6867	9999
421	6882	9981
422	6896	9961
423	6911	9943
424	6926	9925
425	6940	9906
426	6956	9889
427	6971	9870
428	6989	9856
429	7005	9839
430	7022	9824
431	7038	9808
432	7055	9792
433	7071	9776
434	7089	9761
435	7106	9747
436	7123	9731
437	7141	9718
438	7157	9701
439	7175	9686
440	7191	9670
441	7208	9654
442	7223	9637
443	7239	9619
444	7255	9603
445	7273	9588
446	7288	9571
447	7303	9553
448	7319	9536
449	7334	9519
450	7350	9501
451	7365	9484
452	7381	9466
453	7395	9448
454	7411	9431
455	7426	9413
456	7441	9395
457	7457	9378
458	7473	9362
459	7488	9343
460	7503	9326
461	7521	9312
